hour,weekday,month,holiday,precipitation_mm,visibility_km,temperature_c,wind_speed_kmh,traffic_density,num_lanes,ilumination,work_zone,num_accidents
20,0,1,0,7.4,8.3,10.9,49.1,3,2,1,1,2
6,5,11,0,0,9.9,11.2,78.2,4,2,1,0,1
10,0,2,0,0,9.8,8.1,3.9,6,2,1,0,1
20,4,6,0,0,9.5,20.8,26,2,2,1,0,1
11,1,6,0,0,10.2,24.5,6.4,6,3,1,0,0
12,2,11,0,16.6,7.3,9.4,74,7,3,1,0,4
12,5,8,0,0,10.2,26.3,67.2,7,3,1,0,3
1,6,2,0,34.2,3.9,9.1,53.6,3,3,0,0,3
8,6,11,0,8.3,8,14.8,64.8,4,2,1,0,4
11,6,3,0,0,10,8,29.2,6,3,1,0,2
18,0,2,0,0,10.5,10.3,11.3,9,3,1,0,8
11,3,9,0,0,9.6,18.2,49.9,6,2,1,1,4
7,2,11,0,0,10.2,16.1,51.9,7,3,1,0,1
13,2,7,0,0,9.6,27.2,58.2,5,4,1,0,1
6,4,8,0,0,10,29,6.8,4,3,1,0,2
2,6,4,0,0,9.7,14.2,5.3,3,3,1,0,5
4,1,5,0,36.9,2.9,17.5,4.5,2,3,1,0,1
19,0,11,0,0,10.4,13.6,52.1,8,2,1,0,5
12,1,11,0,0,10.4,16.5,0.8,6,3,1,0,0
6,4,5,0,0,9.6,17,25.6,3,3,1,0,3
17,2,11,0,0,9.8,16.1,66.8,8,3,1,0,4
1,0,11,0,0.7,10.1,14.1,23.6,2,3,1,0,0
22,1,9,1,0,10.1,21.4,3.8,2,2,0,0,1
17,6,7,0,0,10.4,23.9,14.6,7,2,1,0,0
23,2,7,0,0,10.3,24.1,70.9,1,2,0,0,4
0,5,4,0,0,9.6,17.2,31.6,3,4,0,0,3
8,0,2,0,0,10.3,9.5,88.6,7,3,1,0,1
16,6,9,0,0,10.2,19.6,38.8,7,3,1,0,1
9,4,5,0,0,10.2,19.4,17.3,8,3,1,0,4
9,1,7,0,0,9.8,25.5,60.8,8,4,1,0,3
7,5,5,0,0,9.5,17,42.8,4,2,1,0,5
22,0,2,0,40.3,2.9,9.7,50.2,3,2,1,0,11
15,3,5,0,0,9.8,21.2,43.6,5,3,1,1,1
10,4,2,0,34.9,3.9,6.5,36.7,6,3,1,1,4
18,3,8,1,0,10.3,28.8,85.8,7,4,1,0,7
23,1,8,0,0,10,29.3,53.3,2,2,1,0,1
12,2,4,0,0,10.4,13.2,85.6,6,2,1,0,1
11,1,11,1,0,9.5,9.2,22.3,5,3,1,0,0
21,0,10,0,0,9.8,17,54.5,4,4,1,0,1
0,2,10,0,0,9.9,19.7,6.8,2,4,1,0,3
18,6,1,0,0,9.9,9,30.7,7,3,1,0,8
17,6,8,0,0,10.1,24.6,22.1,7,3,1,0,4
10,1,8,0,0,9.8,29,63.1,6,2,1,0,1
13,3,9,0,0,10.1,21.9,71.4,5,2,1,0,2
17,4,6,0,0,9.8,24.6,24.4,9,2,1,0,6
18,6,9,0,0,10.3,20.4,32.5,6,4,1,0,4
15,0,1,0,0,9.9,6.5,4.6,7,3,1,0,0
15,0,10,0,7.9,8.6,16.4,89.5,5,3,1,0,3
14,2,10,0,0,10.1,18.9,66.6,7,2,1,0,1
7,1,9,1,22.8,6,20.3,20.8,6,4,1,0,2
20,4,11,0,6.2,8.6,10.2,23.9,2,2,1,0,3
3,3,12,0,0,9.8,10.3,39.4,2,3,1,0,0
7,5,10,0,38.4,3.4,18.6,68.7,2,3,1,0,5
11,3,6,0,8.5,8.4,23,59.6,6,3,1,1,1
3,6,7,0,0,9.5,29,41.6,2,3,1,0,2
17,1,5,0,0,9.6,22.8,54.8,8,2,1,0,0
13,0,4,0,0,10,11.9,74.9,6,4,1,0,3
14,4,3,0,0,10,15,77.8,6,3,1,0,2
23,2,10,0,0,10.4,17.6,43.6,2,3,1,0,3
13,0,6,0,0,10.3,22.1,59.7,7,2,1,0,0
16,4,6,0,0,9.9,23.2,41.1,6,3,1,0,1
8,2,10,0,0,10.4,20.8,77.3,8,3,1,0,6
7,5,2,0,31.9,4.6,9.5,62.5,4,2,1,0,3
13,4,11,0,4.4,9.6,14,21.7,7,2,1,0,4
9,5,9,0,0,9.8,22.7,57.5,7,3,1,0,4
11,4,5,0,0,10.5,20.3,24.7,6,4,1,0,6
11,1,11,0,37.9,3.4,14.4,12.3,5,4,1,0,4
9,2,12,0,39.4,3.3,8.9,45.2,8,2,1,0,7
7,6,11,0,0,10.5,15.4,32.9,4,2,1,0,1
23,5,5,0,0,10.4,15.9,21,2,3,1,0,4
3,1,1,0,24.9,5.1,12.1,12.2,2,4,0,0,10
14,1,6,0,0,10,26.8,32.3,6,2,1,0,2
6,5,11,0,39.4,2.7,10,50.8,2,3,1,0,3
19,0,5,0,6.9,8.5,16.4,59.5,8,2,1,0,2
8,0,3,0,0,10.2,11.8,70,8,2,1,0,5
20,0,1,0,0,9.9,5.9,64.1,3,2,1,0,0
4,2,10,0,0,9.8,22,47.8,2,3,1,0,0
20,5,9,0,0,10,19.8,30.5,3,3,1,0,1
8,2,3,0,0,9.6,8.7,38.9,8,3,1,0,4
11,6,11,0,0,10.4,9.4,25.9,7,2,1,0,1
7,6,2,0,0,9.6,8.2,20.4,3,3,1,0,3
21,6,12,0,35.3,3.5,8.7,0.5,4,3,1,1,5
5,2,5,0,0,10.1,15.7,4.7,1,3,1,1,2
13,2,4,0,21.8,5.9,16.4,43.8,6,2,1,0,2
6,6,3,0,0,9.6,12,38.8,2,3,1,0,3
23,0,7,1,0,10.4,26.6,51.6,2,3,1,0,3
22,2,2,0,22.1,5.9,6.6,78.3,2,2,1,0,4
23,6,11,0,7.7,8.3,13.8,68.4,3,2,0,0,9
14,0,8,0,0,9.8,22.4,45.7,6,3,1,1,3
2,4,10,0,0,10.1,20.3,80.6,2,3,1,0,2
3,6,6,0,32.5,3.7,24.7,89.2,3,3,1,0,6
3,4,11,0,42.7,2.8,13.8,13.5,1,4,1,0,7
4,5,12,0,0,10.2,10.2,58.1,3,3,1,0,3
